Target campaign	Target ad group	Target keyword text	Target keyword match type	title1(text)	tour_price(text)	Target location	出発地(text)	元URL
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 旅行	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 ツアー	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 格安ツアー	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 ツアー	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 格安旅行	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 格安旅行	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 旅行	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 格安ツアー	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台中 旅行	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台中 ツアー	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台中 +旅行	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台中 +ツアー	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台中 +旅行	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台中 +ツアー	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 旅行	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 格安旅行	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 格安ツアー	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 ツアー	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 ツアー	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 格安旅行	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 旅行	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 格安ツアー	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台南 旅行	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台南 ツアー	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台南 +旅行	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台南 +ツアー	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台南 +旅行	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台南 +ツアー	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安旅行	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	his 台湾 ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 旅行	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 ツアー 安い	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん ツアー	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行 +ランタン	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台湾ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 ツアー +ランタン	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行 ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	jtb 台湾 オプショナルツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	his 台湾 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 最安値	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 ツアー 格安	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安ツアー +ランタン	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん ツアー	完全一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 格安ツアー	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 観光	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安旅行	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安 旅行	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行 おすすめ	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 温泉 旅行	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 温泉 ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	jtb 海外 ツアー 台湾	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	jtb 台湾	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	his 台湾	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 温泉	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 his	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 温泉 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 格安ツアー	完全一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台灣 旅行 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 格安旅行	完全一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 旅行	完全一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	JTB 台湾 オプショナルツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 台湾	完全一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 温泉 旅行	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 1 周 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	jtb 海外 ツアー 台湾	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台湾 旅行	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台湾 ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台湾 +旅行	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+台湾 +ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台湾 +旅行	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	+松山 +台湾 +ツアー	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 高雄ツアー	完全一致	高雄	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/kaohsiung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	高雄 最安値	部分一致	高雄	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/kaohsiung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	高雄 旅行 安い	部分一致	高雄	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/kaohsiung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台中ツアー	完全一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 最安値	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 ツアー 安い	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台中 旅行 安い	部分一致	台中	6.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/taichung/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 台南ツアー	完全一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 最安値	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 ツアー 安い	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台南 旅行 安い	部分一致	台南	料金無しのため掲載なし	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/tainan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 格安旅行 +ランタン	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 格安旅行	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 最安値	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん ツアー 安い	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	台湾 旅行 安い	部分一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	九ふん 旅行 安い	部分一致	九フン	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾	松山発 温泉ツアー	完全一致	台湾	4.98万円～	Ehime, Japan	松山発	https://www.hankyu-travel.com/taiwan/myj.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安ツアー	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安旅行	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 旅行	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安ツアー	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 旅行	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	his 台北 ツアー	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ ツアー	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 旅行	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 ツアー 安い	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	his 台北 ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 格安旅行	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	台北 his	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安旅行	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 旅行	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 格安旅行	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	高知発 台北ツアー	完全一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
SC_海外ツアー_000_拠点なし_アジア/台湾	SC_海外ツアー_000_拠点なし_アジア/台湾/台北	タイペイ 最安値	部分一致	台北	4.98万円～	Kochi, Japan	高知発	https://www.hankyu-travel.com/taiwan/taipei/kcz.php
